GENERIC NAME,CONDITION,SOURCE,COUNT
rizatriptan,Migraine,Palakkad,987
triamcinolone,Hair Loss,Thiruvananthapuram,64
minocycline,Acne,Ernakulam,987
lisinopril,Hypertension,Kasargod,3
diphenhydramine,Cold,Kozhikode,32
bupropion,Depression,Thiruvananthapuram,65
spironolactone,Acne,Thiruvananthapuram,124
minoxidil topical,Hair Loss,Kollam,30
doxycycline,Acne,Pathanamthitta,879
alvimopan,Gastrointestinal,Kottayam,654
minocycline,Acne,Ernakulam,988
sertraline,Depression,Kozhikode,23
chlorpheniramine,Cold,Kasargod,321
losartan,Hypertension,Malappuram,32
spironolactone,Acne,Thiruvananthapuram,897
rizatriptan,Migraine,Palakkad,64
triamcinolone,Hair Loss,Thiruvananthapuram,321
duloxetine,Depression,Kollam,325
minocycline,Acne,Ernakulam,879
minoxidil topical,Hair Loss,Kollam,657
spironolactone,Acne,Thiruvananthapuram,23
lidocaine topical,Gastrointestinal,Pathanamthitta,6
triamcinolone,Hair Loss,Thiruvananthapuram,54
tretinoin topical,Acne,Thrissur,50
lisinopril,Hypertension,Kasargod,21
duloxetine,Depression,Kollam,321
spironolactone,Acne,Thiruvananthapuram,15
eletriptan,Migraine,Wayanad,958
minocycline,Acne,Ernakulam,987
minoxidil topical,Hair Loss,Kollam,54
spironolactone,Acne,Thiruvananthapuram,458
alvimopan,Gastrointestinal,Kottayam,5
triamcinolone,Hair Loss,Thiruvananthapuram,65
bupropion,Depression,Thiruvananthapuram,654
minocycline,Acne,Ernakulam,677
rizatriptan,Migraine,Palakkad,65
spironolactone,Acne,Thiruvananthapuram,45
elvitegravir,AIDS/HIV,Palakkad,587
alvimopan,Gastrointestinal,Kottayam,67
diphenhydramine,Cold,Kozhikode,654
losartan,Hypertension,Malappuram,654
tretinoin topical,Acne,Thrissur,897
minoxidil topical,Hair Loss,Kollam,65
eletriptan,Migraine,Wayanad,65
duloxetine,Depression,Kollam,321
minocycline,Acne,Ernakulam,654
elvitegravir,AIDS/HIV,Palakkad,23
lidocaine topical,Gastrointestinal,Pathanamthitta,7
triamcinolone,Hair Loss,Thiruvananthapuram,34
diphenhydramine,Cold,Kozhikode,32
alvimopan,Gastrointestinal,Kottayam,21
spironolactone,Acne,Thiruvananthapuram,784
bupropion,Depression,Thiruvananthapuram,65
lisinopril,Hypertension,Kasargod,657
rizatriptan,Migraine,Palakkad,120
tretinoin topical,Acne,Thrissur,698
lidocaine topical,Gastrointestinal,Pathanamthitta,65
minocycline,Acne,Ernakulam,547
elvitegravir,AIDS/HIV,Palakkad,32
duloxetine,Depression,Kollam,321
spironolactone,Acne,Thiruvananthapuram,65
minoxidil topical,Hair Loss,Kollam,66
bupropion,Depression,Thiruvananthapuram,32
clindamycin topical,Acne,Aleppey,987
alvimopan,Gastrointestinal,Kottayam,654
bupropion,Depression,Thiruvananthapuram,65
spironolactone,Acne,Thiruvananthapuram,854
losartan,Hypertension,Malappuram,64
elvitegravir,AIDS/HIV,Palakkad,987
duloxetine,Depression,Kollam,65
clindamycin topical,Acne,Aleppey,65
lisinopril,Hypertension,Kasargod,6
minocycline,Acne,Ernakulam,45
chlorpheniramine,Cold,Kasargod,321
triamcinolone,Hair Loss,Thiruvananthapuram,328
sertraline,Depression,Kozhikode,654
spironolactone,Acne,Thiruvananthapuram,658
rizatriptan,Migraine,Palakkad,65
minocycline,Acne,Ernakulam,65
alvimopan,Gastrointestinal,Kottayam,5
elvitegravir,AIDS/HIV,Palakkad,32
duloxetine,Depression,Kollam,32
minoxidil topical,Hair Loss,Kollam,65
spironolactone,Acne,Thiruvananthapuram,56
losartan,Hypertension,Malappuram,65
diphenhydramine,Cold,Kozhikode,32
eletriptan,Migraine,Wayanad,32
minocycline,Acne,Ernakulam,23
lidocaine topical,Gastrointestinal,Pathanamthitta,5
emtricitabine,AIDS/HIV,Aleppey,365
rizatriptan,Migraine,Palakkad,65
spironolactone,Acne,Thiruvananthapuram,547
bupropion,Depression,Thiruvananthapuram,65
eletriptan,Migraine,Wayanad,320
emtricitabine,AIDS/HIV,Aleppey,654
lisinopril,Hypertension,Kasargod,564
minocycline,Acne,Ernakulam,12
rizatriptan,Migraine,Palakkad,5
clindamycin topical,Acne,Aleppey,789
triamcinolone,Hair Loss,Thiruvananthapuram,368
duloxetine,Depression,Kollam,32
chlorpheniramine,Cold,Kasargod,350
alvimopan,Gastrointestinal,Kottayam,654
spironolactone,Acne,Thiruvananthapuram,548
rizatriptan,Migraine,Palakkad,6
lidocaine topical,Gastrointestinal,Pathanamthitta,9
clindamycin topical,Acne,Aleppey,897
chlorpheniramine,Cold,Kasargod,32
eletriptan,Migraine,Wayanad,65
spironolactone,Acne,Thiruvananthapuram,54
lisinopril,Hypertension,Kasargod,25
sertraline,Depression,Kozhikode,65
elvitegravir,AIDS/HIV,Palakkad,987
sumatriptan,Migraine,Malappuram,5
rizatriptan,Migraine,Palakkad,5
clindamycin topical,Acne,Aleppey,12
minoxidil topical,Hair Loss,Kollam,674
spironolactone,Acne,Thiruvananthapuram,44
eletriptan,Migraine,Wayanad,320
alvimopan,Gastrointestinal,Kottayam,32
diphenhydramine,Cold,Kozhikode,321
duloxetine,Depression,Kollam,65
doxycycline,Acne,Pathanamthitta,10
lidocaine topical,Gastrointestinal,Pathanamthitta,6
spironolactone,Acne,Thiruvananthapuram,857
lisinopril,Hypertension,Kasargod,54
sumatriptan,Migraine,Malappuram,5
elvitegravir,AIDS/HIV,Palakkad,21
rizatriptan,Migraine,Palakkad,65
minoxidil topical,Hair Loss,Kollam,547
clindamycin topical,Acne,Aleppey,789
alvimopan,Gastrointestinal,Kottayam,31
diphenhydramine,Cold,Kozhikode,324
duloxetine,Depression,Kollam,32
spironolactone,Acne,Thiruvananthapuram,54
sumatriptan,Migraine,Malappuram,5
lidocaine topical,Gastrointestinal,Pathanamthitta,64
sertraline,Depression,Kozhikode,32
clindamycin topical,Acne,Aleppey,21
rizatriptan,Migraine,Palakkad,5
losartan,Hypertension,Malappuram,54
emtricitabine,AIDS/HIV,Aleppey,365
alvimopan,Gastrointestinal,Kottayam,6
diphenhydramine,Cold,Kozhikode,321
sumatriptan,Migraine,Malappuram,65
spironolactone,Acne,Thiruvananthapuram,787
triamcinolone,Hair Loss,Thiruvananthapuram,65
duloxetine,Depression,Kollam,65
darunavir,AIDS/HIV,Thrissur,365
lisinopril,Hypertension,Kasargod,75
eletriptan,Migraine,Wayanad,614
duloxetine,Depression,Kollam,231
elvitegravir,AIDS/HIV,Palakkad,564
sumatriptan,Migraine,Malappuram,6
spironolactone,Acne,Thiruvananthapuram,16
lidocaine topical,Gastrointestinal,Pathanamthitta,987
diphenhydramine,Cold,Kozhikode,32
alvimopan,Gastrointestinal,Kottayam,312
tretinoin topical,Acne,Thrissur,987
minoxidil topical,Hair Loss,Kollam,547
chlorpheniramine,Cold,Kasargod,32
sumatriptan,Migraine,Malappuram,9
losartan,Hypertension,Malappuram,543
spironolactone,Acne,Thiruvananthapuram,69
eletriptan,Migraine,Wayanad,52
lidocaine topical,Gastrointestinal,Pathanamthitta,65
elvitegravir,AIDS/HIV,Palakkad,987
rizatriptan,Migraine,Palakkad,5
sertraline,Depression,Kozhikode,646
spironolactone,Acne,Thiruvananthapuram,987
triamcinolone,Hair Loss,Thiruvananthapuram,657
emtricitabine,AIDS/HIV,Aleppey,325
sumatriptan,Migraine,Malappuram,65
lidocaine topical,Gastrointestinal,Pathanamthitta,98
elvitegravir,AIDS/HIV,Palakkad,21
duloxetine,Depression,Kollam,65
diphenhydramine,Cold,Kozhikode,321
lisinopril,Hypertension,Kasargod,647
tretinoin topical,Acne,Thrissur,654
minoxidil topical,Hair Loss,Kollam,76
alvimopan,Gastrointestinal,Kottayam,6
spironolactone,Acne,Thiruvananthapuram,16
duloxetine,Depression,Kollam,321
rizatriptan,Migraine,Palakkad,5
elvitegravir,AIDS/HIV,Palakkad,456
lidocaine topical,Gastrointestinal,Pathanamthitta,98
chlorpheniramine,Cold,Kasargod,21
lidocaine viscous,Gastrointestinal,Thrissur,65
clindamycin topical,Acne,Aleppey,789
alvimopan,Gastrointestinal,Kottayam,64
minoxidil topical,Hair Loss,Kollam,65
lisinopril,Hypertension,Kasargod,3
bupropion,Depression,Thiruvananthapuram,65
emtricitabine,AIDS/HIV,Aleppey,321
sumatriptan,Migraine,Malappuram,55
tretinoin topical,Acne,Thrissur,365
rizatriptan,Migraine,Palakkad,7
triamcinolone,Hair Loss,Thiruvananthapuram,365
diphenhydramine,Cold,Kozhikode,321
alvimopan,Gastrointestinal,Kottayam,24
clindamycin topical,Acne,Aleppey,458
sumatriptan,Migraine,Malappuram,65
sertraline,Depression,Kozhikode,354
darunavir,AIDS/HIV,Thrissur,654
losartan,Hypertension,Malappuram,64
minoxidil topical,Hair Loss,Kollam,54
tretinoin topical,Acne,Thrissur,478
lidocaine viscous,Gastrointestinal,Thrissur,65
lisinopril,Hypertension,Kasargod,546
chlorpheniramine,Cold,Kasargod,245
duloxetine,Depression,Kollam,654
lidocaine topical,Gastrointestinal,Pathanamthitta,7
doxycycline,Acne,Pathanamthitta,789
triamcinolone,Hair Loss,Thiruvananthapuram,51
eletriptan,Migraine,Wayanad,64
emtricitabine,AIDS/HIV,Aleppey,21
sumatriptan,Migraine,Malappuram,65
clindamycin topical,Acne,Aleppey,987
rizatriptan,Migraine,Palakkad,16
minoxidil topical,Hair Loss,Kollam,431
darunavir,AIDS/HIV,Thrissur,214
lidocaine topical,Gastrointestinal,Pathanamthitta,564
elvitegravir,AIDS/HIV,Palakkad,564
sumatriptan,Migraine,Malappuram,65
chlorpheniramine,Cold,Kasargod,321
duloxetine,Depression,Kollam,65
tretinoin topical,Acne,Thrissur,987
lidocaine viscous,Gastrointestinal,Thrissur,6
diphenhydramine,Cold,Kozhikode,32
losartan,Hypertension,Malappuram,54
emtricitabine,AIDS/HIV,Aleppey,362
triamcinolone,Hair Loss,Thiruvananthapuram,65
lidocaine topical,Gastrointestinal,Pathanamthitta,2
darunavir,AIDS/HIV,Thrissur,547
eletriptan,Migraine,Wayanad,321
elvitegravir,AIDS/HIV,Palakkad,356
bupropion,Depression,Thiruvananthapuram,32
lisinopril,Hypertension,Kasargod,54
clindamycin topical,Acne,Aleppey,698
lidocaine viscous,Gastrointestinal,Thrissur,7
duloxetine,Depression,Kollam,654
emtricitabine,AIDS/HIV,Aleppey,325
lidocaine topical,Gastrointestinal,Pathanamthitta,987
darunavir,AIDS/HIV,Thrissur,32
triamcinolone,Hair Loss,Thiruvananthapuram,654
clindamycin topical,Acne,Aleppey,120
sumatriptan,Migraine,Malappuram,65
darunavir,AIDS/HIV,Thrissur,321
eletriptan,Migraine,Wayanad,5
sertraline,Depression,Kozhikode,32
tretinoin topical,Acne,Thrissur,214
bupropion,Depression,Thiruvananthapuram,65
lisinopril,Hypertension,Kasargod,123
emtricitabine,AIDS/HIV,Aleppey,65
sumatriptan,Migraine,Malappuram,982
clindamycin topical,Acne,Aleppey,456
minoxidil topical,Hair Loss,Kollam,6
lidocaine topical,Gastrointestinal,Pathanamthitta,65
darunavir,AIDS/HIV,Thrissur,321
bupropion,Depression,Thiruvananthapuram,32
lidocaine viscous,Gastrointestinal,Thrissur,87
emtricitabine,AIDS/HIV,Aleppey,213
sumatriptan,Migraine,Malappuram,987
bupropion,Depression,Thiruvananthapuram,64
eletriptan,Migraine,Wayanad,6
tretinoin topical,Acne,Thrissur,654
eletriptan,Migraine,Wayanad,7
elvitegravir,AIDS/HIV,Palakkad,13
darunavir,AIDS/HIV,Thrissur,120
bupropion,Depression,Thiruvananthapuram,654
triamcinolone,Hair Loss,Thiruvananthapuram,32
emtricitabine,AIDS/HIV,Aleppey,32
lidocaine topical,Gastrointestinal,Pathanamthitta,654
sertraline,Depression,Kozhikode,32
clindamycin topical,Acne,Aleppey,897
losartan,Hypertension,Malappuram,54
bupropion,Depression,Thiruvananthapuram,32
lidocaine viscous,Gastrointestinal,Thrissur,654
elvitegravir,AIDS/HIV,Palakkad,235
sertraline,Depression,Kozhikode,65
darunavir,AIDS/HIV,Thrissur,210
sumatriptan,Migraine,Malappuram,98
triamcinolone,Hair Loss,Thiruvananthapuram,62
tretinoin topical,Acne,Thrissur,75
sertraline,Depression,Kozhikode,65
losartan,Hypertension,Malappuram,654
diphenhydramine,Cold,Kozhikode,321
lidocaine topical,Gastrointestinal,Pathanamthitta,654
emtricitabine,AIDS/HIV,Aleppey,21
sumatriptan,Migraine,Malappuram,5
bupropion,Depression,Thiruvananthapuram,54
clindamycin topical,Acne,Aleppey,12
minoxidil topical,Hair Loss,Kollam,21
lisinopril,Hypertension,Kasargod,21
darunavir,AIDS/HIV,Thrissur,21
bupropion,Depression,Thiruvananthapuram,65
lidocaine topical,Gastrointestinal,Pathanamthitta,549
tretinoin topical,Acne,Thrissur,45
losartan,Hypertension,Malappuram,41
sertraline,Depression,Kozhikode,65
darunavir,AIDS/HIV,Thrissur,321
lidocaine viscous,Gastrointestinal,Thrissur,6
triamcinolone,Hair Loss,Thiruvananthapuram,36
bupropion,Depression,Thiruvananthapuram,32
clindamycin topical,Acne,Aleppey,548
chlorpheniramine,Cold,Kasargod,32
lisinopril,Hypertension,Kasargod,2
emtricitabine,AIDS/HIV,Aleppey,20
sertraline,Depression,Kozhikode,22
losartan,Hypertension,Malappuram,6
tretinoin topical,Acne,Thrissur,11
lidocaine topical,Gastrointestinal,Pathanamthitta,54
chlorpheniramine,Cold,Kasargod,32
eletriptan,Migraine,Wayanad,6
clindamycin topical,Acne,Aleppey,120
sumatriptan,Migraine,Malappuram,65
darunavir,AIDS/HIV,Thrissur,21
triamcinolone,Hair Loss,Thiruvananthapuram,65
diphenhydramine,Cold,Kozhikode,32
lisinopril,Hypertension,Kasargod,65
doxycycline,Acne,Pathanamthitta,478
lidocaine viscous,Gastrointestinal,Thrissur,7
chlorpheniramine,Cold,Kasargod,65
sertraline,Depression,Kozhikode,32
tretinoin topical,Acne,Thrissur,12
losartan,Hypertension,Malappuram,64
emtricitabine,AIDS/HIV,Aleppey,65
sumatriptan,Migraine,Malappuram,65
diphenhydramine,Cold,Kozhikode,32
lidocaine viscous,Gastrointestinal,Thrissur,54
clindamycin topical,Acne,Aleppey,32
lisinopril,Hypertension,Kasargod,21
chlorpheniramine,Cold,Kasargod,21
triamcinolone,Hair Loss,Thiruvananthapuram,65
doxycycline,Acne,Pathanamthitta,12
lisinopril,Hypertension,Kasargod,654
eletriptan,Migraine,Wayanad,6
tretinoin topical,Acne,Thrissur,75
bupropion,Depression,Thiruvananthapuram,36
darunavir,AIDS/HIV,Thrissur,321
lidocaine viscous,Gastrointestinal,Thrissur,321
sertraline,Depression,Kozhikode,65
doxycycline,Acne,Pathanamthitta,879
chlorpheniramine,Cold,Kasargod,21
sumatriptan,Migraine,Malappuram,987
emtricitabine,AIDS/HIV,Aleppey,65
lidocaine viscous,Gastrointestinal,Thrissur,654
tretinoin topical,Acne,Thrissur,57
losartan,Hypertension,Malappuram,544
minoxidil topical,Hair Loss,Kollam,20
doxycycline,Acne,Pathanamthitta,465
diphenhydramine,Cold,Kozhikode,60
bupropion,Depression,Thiruvananthapuram,65
darunavir,AIDS/HIV,Thrissur,32
triamcinolone,Hair Loss,Thiruvananthapuram,65
emtricitabine,AIDS/HIV,Aleppey,65
doxycycline,Acne,Pathanamthitta,12
sertraline,Depression,Kozhikode,32
lisinopril,Hypertension,Kasargod,31
lidocaine viscous,Gastrointestinal,Thrissur,65
tretinoin topical,Acne,Thrissur,45
lidocaine viscous,Gastrointestinal,Thrissur,5
chlorpheniramine,Cold,Kasargod,35
doxycycline,Acne,Pathanamthitta,120
sertraline,Depression,Kozhikode,65
losartan,Hypertension,Malappuram,5
darunavir,AIDS/HIV,Thrissur,210
bupropion,Depression,Thiruvananthapuram,65
tretinoin topical,Acne,Thrissur,75
losartan,Hypertension,Malappuram,64
diphenhydramine,Cold,Kozhikode,32
sumatriptan,Migraine,Malappuram,5
doxycycline,Acne,Pathanamthitta,789
eletriptan,Migraine,Wayanad,55
emtricitabine,AIDS/HIV,Aleppey,32
lidocaine viscous,Gastrointestinal,Thrissur,6
darunavir,AIDS/HIV,Thrissur,32
bupropion,Depression,Thiruvananthapuram,65
doxycycline,Acne,Pathanamthitta,123
chlorpheniramine,Cold,Kasargod,54
eletriptan,Migraine,Wayanad,2
darunavir,AIDS/HIV,Thrissur,21
sertraline,Depression,Kozhikode,65
lidocaine viscous,Gastrointestinal,Thrissur,77
doxycycline,Acne,Pathanamthitta,789
sumatriptan,Migraine,Malappuram,987
emtricitabine,AIDS/HIV,Aleppey,21
eletriptan,Migraine,Wayanad,5
chlorpheniramine,Cold,Kasargod,34
doxycycline,Acne,Pathanamthitta,658
lidocaine viscous,Gastrointestinal,Thrissur,65
diphenhydramine,Cold,Kozhikode,32
lidocaine viscous,Gastrointestinal,Thrissur,340
darunavir,AIDS/HIV,Thrissur,21
lisinopril,Hypertension,Kasargod,645
bupropion,Depression,Thiruvananthapuram,52
sumatriptan,Migraine,Malappuram,5
darunavir,AIDS/HIV,Thrissur,32
lidocaine viscous,Gastrointestinal,Thrissur,972
diphenhydramine,Cold,Kozhikode,32
bupropion,Depression,Thiruvananthapuram,65
doxycycline,Acne,Pathanamthitta,45
lisinopril,Hypertension,Kasargod,31
diphenhydramine,Cold,Kozhikode,32
bupropion,Depression,Thiruvananthapuram,64
doxycycline,Acne,Pathanamthitta,12
lidocaine viscous,Gastrointestinal,Thrissur,621
darunavir,AIDS/HIV,Thrissur,32
eletriptan,Migraine,Wayanad,10
sumatriptan,Migraine,Malappuram,587
minocycline,Acne,Ernakulam,987
sertraline,Depression,Kozhikode,365
lisinopril,Hypertension,Kasargod,54
elvitegravir,AIDS/HIV,Palakkad,32
triamcinolone,Hair Loss,Thiruvananthapuram,65
lidocaine topical,Gastrointestinal,Pathanamthitta,65
emtricitabine,AIDS/HIV,Aleppey,789
lisinopril,Hypertension,Kasargod,5
bupropion,Depression,Thiruvananthapuram,654
diphenhydramine,Cold,Kozhikode,320
minoxidil topical,Hair Loss,Kollam,654
spironolactone,Acne,Thiruvananthapuram,500
alvimopan,Gastrointestinal,Kottayam,741
sertraline,Depression,Kozhikode,65
chlorpheniramine,Cold,Kasargod,654
triamcinolone,Hair Loss,Thiruvananthapuram,654
elvitegravir,AIDS/HIV,Palakkad,797
lidocaine topical,Gastrointestinal,Pathanamthitta,32
duloxetine,Depression,Kollam,65
minoxidil topical,Hair Loss,Kollam,6
emtricitabine,AIDS/HIV,Aleppey,987
lisinopril,Hypertension,Kasargod,6
minoxidil topical,Hair Loss,Kollam,654
bupropion,Depression,Thiruvananthapuram,32
spironolactone,Acne,Thiruvananthapuram,125
rizatriptan,Migraine,Palakkad,654
elvitegravir,AIDS/HIV,Palakkad,25
alvimopan,Gastrointestinal,Kottayam,98
chlorpheniramine,Cold,Kasargod,32
rizatriptan,Migraine,Palakkad,65
sertraline,Depression,Kozhikode,321
eletriptan,Migraine,Wayanad,54
emtricitabine,AIDS/HIV,Aleppey,987
lidocaine topical,Gastrointestinal,Pathanamthitta,25
chlorpheniramine,Cold,Kasargod,321
lisinopril,Hypertension,Kasargod,412
tretinoin topical,Acne,Thrissur,987
alvimopan,Gastrointestinal,Kottayam,5
diphenhydramine,Cold,Kozhikode,546
duloxetine,Depression,Kollam,32
rizatriptan,Migraine,Palakkad,65
elvitegravir,AIDS/HIV,Palakkad,587
lisinopril,Hypertension,Kasargod,5
chlorpheniramine,Cold,Kasargod,32
alvimopan,Gastrointestinal,Kottayam,654
triamcinolone,Hair Loss,Thiruvananthapuram,62
spironolactone,Acne,Thiruvananthapuram,58
sertraline,Depression,Kozhikode,54
eletriptan,Migraine,Wayanad,65
elvitegravir,AIDS/HIV,Palakkad,458
lidocaine viscous,Gastrointestinal,Thrissur,654
diphenhydramine,Cold,Kozhikode,32
rizatriptan,Migraine,Palakkad,652
minoxidil topical,Hair Loss,Kollam,5
minocycline,Acne,Ernakulam,654
duloxetine,Depression,Kollam,321
losartan,Hypertension,Malappuram,544
chlorpheniramine,Cold,Kasargod,32
spironolactone,Acne,Thiruvananthapuram,537
chlorpheniramine,Cold,Kasargod,21
triamcinolone,Hair Loss,Thiruvananthapuram,65
elvitegravir,AIDS/HIV,Palakkad,12
alvimopan,Gastrointestinal,Kottayam,54
lisinopril,Hypertension,Kasargod,2
spironolactone,Acne,Thiruvananthapuram,25
lidocaine viscous,Gastrointestinal,Thrissur,55
minocycline,Acne,Ernakulam,879
chlorpheniramine,Cold,Kasargod,25
rizatriptan,Migraine,Palakkad,655
minoxidil topical,Hair Loss,Kollam,65
emtricitabine,AIDS/HIV,Aleppey,987
lidocaine topical,Gastrointestinal,Pathanamthitta,6
triamcinolone,Hair Loss,Thiruvananthapuram,321
spironolactone,Acne,Thiruvananthapuram,123
diphenhydramine,Cold,Kozhikode,564
alvimopan,Gastrointestinal,Kottayam,321
tretinoin topical,Acne,Thrissur,897
losartan,Hypertension,Malappuram,
duloxetine,Depression,Kollam,23
elvitegravir,AIDS/HIV,Palakkad,879
rizatriptan,Migraine,Palakkad,987
duloxetine,Depression,Kollam,321
minocycline,Acne,Ernakulam,548
lidocaine topical,Gastrointestinal,Pathanamthitta,6
spironolactone,Acne,Thiruvananthapuram,65
eletriptan,Migraine,Wayanad,654
chlorpheniramine,Cold,Kasargod,32
alvimopan,Gastrointestinal,Kottayam,21
minocycline,Acne,Ernakulam,879
minoxidil topical,Hair Loss,Kollam,65
duloxetine,Depression,Kollam,32
eletriptan,Migraine,Wayanad,987
tretinoin topical,Acne,Thrissur,984
rizatriptan,Migraine,Palakkad,987
triamcinolone,Hair Loss,Thiruvananthapuram,64
minocycline,Acne,Ernakulam,987
lisinopril,Hypertension,Kasargod,3
diphenhydramine,Cold,Kozhikode,32
bupropion,Depression,Thiruvananthapuram,65
spironolactone,Acne,Thiruvananthapuram,124
minoxidil topical,Hair Loss,Kollam,30
doxycycline,Acne,Pathanamthitta,879
alvimopan,Gastrointestinal,Kottayam,654
minocycline,Acne,Ernakulam,988
sertraline,Depression,Kozhikode,23
chlorpheniramine,Cold,Kasargod,321
losartan,Hypertension,Malappuram,32
spironolactone,Acne,Thiruvananthapuram,897
rizatriptan,Migraine,Palakkad,64
triamcinolone,Hair Loss,Thiruvananthapuram,321
duloxetine,Depression,Kollam,325
minocycline,Acne,Ernakulam,879
minoxidil topical,Hair Loss,Kollam,657
spironolactone,Acne,Thiruvananthapuram,23
lidocaine topical,Gastrointestinal,Pathanamthitta,6
triamcinolone,Hair Loss,Thiruvananthapuram,54
tretinoin topical,Acne,Thrissur,50
lisinopril,Hypertension,Kasargod,21
duloxetine,Depression,Kollam,321
spironolactone,Acne,Thiruvananthapuram,15
eletriptan,Migraine,Wayanad,958
minocycline,Acne,Ernakulam,987
minoxidil topical,Hair Loss,Kollam,54
spironolactone,Acne,Thiruvananthapuram,458
alvimopan,Gastrointestinal,Kottayam,5
triamcinolone,Hair Loss,Thiruvananthapuram,65
bupropion,Depression,Thiruvananthapuram,654
minocycline,Acne,Ernakulam,677
rizatriptan,Migraine,Palakkad,65
spironolactone,Acne,Thiruvananthapuram,45
elvitegravir,AIDS/HIV,Palakkad,587
alvimopan,Gastrointestinal,Kottayam,67
diphenhydramine,Cold,Kozhikode,654
losartan,Hypertension,Malappuram,654
tretinoin topical,Acne,Thrissur,897
minoxidil topical,Hair Loss,Kollam,65
eletriptan,Migraine,Wayanad,65
duloxetine,Depression,Kollam,321
minocycline,Acne,Ernakulam,654
elvitegravir,AIDS/HIV,Palakkad,23
lidocaine topical,Gastrointestinal,Pathanamthitta,7
triamcinolone,Hair Loss,Thiruvananthapuram,34
